Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
46,2.0,0.0,0.0,132.0,6.0,21.0,1004.0,0.0,27.80400000000001,0.0,0.0,251.0301878452301,,,,,,,,,,,,,,,,,,,,,3.5877185001316243,2.2248253629614774,5.951317173202006,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,157.0,7.0,25.0,1029.0,0.0,35.303999999999995,0.0,0.0,253.6834852695465,,,,,,,,,,,,,,,,,,,,,3.9104555838311774,2.190590708323603,5.978266273051595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,180.0,8.0,23.0,1052.0,0.0,30.40400000000001,0.0,0.0,256.3786208629608,,,,,,,,,,,,,,,,,,,,,3.6139209469336766,2.1540411195607385,5.956089615866997,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,196.0,9.0,16.0,1068.0,0.0,20.303000000000008,0.0,0.0,258.1385974884033,,,,,,,,,,,,,,,,,,,,,3.3140679330671716,2.1153747961463365,5.845081490700249,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,215.0,10.0,19.0,1087.0,0.0,25.803000000000008,0.0,0.0,260.19351291656494,,,,,,,,,,,,,,,,,,,,,3.6513430597885836,2.1203439977170624,5.93290800390853,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,243.0,11.0,28.0,1115.0,0.0,40.602000000000004,0.0,0.0,263.2146563529968,,,,,,,,,,,,,,,,,,,,,4.059509044110113,1.6177872102765556,5.9461971419217265,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,266.0,12.0,23.0,1138.0,0.0,34.303,0.0,0.0,265.5857744216919,,,,,,,,,,,,,,,,,,,,,4.120106870418177,2.140667580733322,5.979716251042852,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,280.0,13.0,14.0,1152.0,0.0,16.703000000000003,0.0,0.0,267.2269198894501,,,,,,,,,,,,,,,,,,,,,3.0324223400144263,2.040814410308141,5.689006885472284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,297.0,14.0,17.0,1169.0,0.0,21.803000000000008,0.0,0.0,269.120304107666,,,,,,,,,,,,,,,,,,,,,3.3818407883218513,2.0846125326261604,5.863764674378274,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,312.0,15.0,15.0,1184.0,0.0,19.203000000000007,0.0,0.0,270.7541468143463,,,,,,,,,,,,,,,,,,,,,3.31655777993558,2.153214760545061,5.832511616397354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
